epoch,loss,mae,rmse,val_loss,val_mae,val_rmse
1,11441974272.0,68711.8046875,106967.1640625,7318484480.0,61990.39453125,85548.140625
2,7233464832.0,64418.60546875,85049.78125,7247136768.0,65015.05078125,85130.1171875
3,7226114048.0,64222.30859375,85006.5546875,7241535488.0,64804.375,85097.2109375
4,7218570752.0,64221.25390625,84962.171875,7239220224.0,63935.16015625,85083.609375
5,7222220800.0,64101.609375,84983.6484375,7233704448.0,64656.3125,85051.1875
6,7205185536.0,64319.48828125,84883.3671875,7231287296.0,64019.55078125,85036.9765625
7,7209636864.0,64020.31640625,84909.578125,7226404864.0,64254.5390625,85008.265625
8,7201425408.0,64046.44140625,84861.2109375,7223347200.0,64690.3984375,84990.2734375
9,7196412928.0,64097.0625,84831.671875,7222495744.0,63804.7421875,84985.265625
10,7191197696.0,64152.9921875,84800.9296875,7216428032.0,64026.81640625,84949.5625
11,7197682688.0,64099.41796875,84839.15625,7215020544.0,65028.8203125,84941.2734375
12,7181296640.0,64006.9453125,84742.53125,7207684096.0,64089.859375,84898.078125
13,7186428928.0,64152.15234375,84772.8046875,7204001792.0,63972.6171875,84876.390625
14,7181616640.0,64010.0234375,84744.421875,7201812480.0,63720.85546875,84863.4921875
15,7177040384.0,63920.671875,84717.4140625,7210876416.0,65759.890625,84916.8828125
16,7166742016.0,64132.90625,84656.609375,7189933056.0,63815.49609375,84793.4765625
17,7166707712.0,64029.19921875,84656.40625,7183006720.0,63903.953125,84752.6171875
18,7160735232.0,64038.1796875,84621.125,7175015936.0,64118.546875,84705.46875
19,7139891200.0,63961.06640625,84497.875,7168580096.0,63927.8046875,84667.46875
20,7146027008.0,63861.203125,84534.1796875,7159549440.0,64027.37109375,84614.1171875
21,7140097536.0,63938.68359375,84499.1015625,7152830976.0,64815.2734375,84574.4140625
22,7129305600.0,63937.3515625,84435.21875,7140696576.0,63756.73828125,84502.640625
23,7128668160.0,63875.546875,84431.4375,7126460416.0,64071.0703125,84418.3671875
24,7102427648.0,63938.140625,84275.8984375,7122373120.0,63069.43359375,84394.15625
25,7086047744.0,63685.50390625,84178.6640625,7098308096.0,63338.609375,84251.4609375
26,7063801856.0,63732.92578125,84046.4296875,7071370240.0,63685.8125,84091.4375
27,7036957696.0,63766.078125,83886.578125,7062708224.0,62445.48828125,84039.921875
28,7009966592.0,63422.3984375,83725.546875,7003839488.0,63793.13671875,83688.9453125
29,6974770688.0,63432.5625,83515.09375,6956033024.0,63374.20703125,83402.8359375
30,6915741184.0,63237.609375,83160.9375,6896166400.0,62877.5859375,83043.15625
31,6865248768.0,62889.375,82856.796875,6820797952.0,63435.91796875,82588.125
32,6780712960.0,62668.80859375,82345.0859375,6737398272.0,63157.0859375,82081.65625
33,6688754176.0,62354.6171875,81784.8046875,6646223872.0,62666.6796875,81524.375
34,6616056320.0,62133.69921875,81339.140625,6585038848.0,60763.265625,81148.25
35,6542318080.0,61671.5234375,80884.59375,6566301184.0,64415.625,81032.71875
36,6508999680.0,61650.26953125,80678.375,6468472320.0,61897.86328125,80426.8125
37,6495201792.0,61684.15234375,80592.8125,6463238144.0,60220.0,80394.265625
38,6444680192.0,61341.30859375,80278.765625,6423972864.0,62524.8203125,80149.6875
39,6446148096.0,61401.70703125,80287.90625,6397715968.0,61451.34765625,79985.7265625
40,6427996672.0,61383.3671875,80174.7890625,6383845888.0,60933.94140625,79898.9765625
41,6410977280.0,61264.84765625,80068.578125,6382164992.0,60263.01953125,79888.453125
42,6408822784.0,61405.12890625,80055.125,6408973824.0,59355.7734375,80056.0703125
43,6393105408.0,61167.90625,79956.8984375,6340253696.0,60834.44140625,79625.7109375
44,6390528000.0,61288.30859375,79940.78125,6333745664.0,60641.26953125,79584.8359375
45,6380485120.0,61139.01171875,79877.9375,6326026752.0,60490.6953125,79536.3203125
46,6354723328.0,61207.4375,79716.515625,6311061504.0,62006.0078125,79442.1875
47,6346234880.0,61205.03125,79663.2578125,6294862336.0,60777.38671875,79340.171875
48,6327248384.0,61041.046875,79544.0,6301094912.0,62366.71875,79379.4375
49,6327151104.0,61132.3359375,79543.390625,6273603584.0,61193.44140625,79206.0859375
50,6333638656.0,61038.99609375,79584.1640625,6291521536.0,62356.03125,79319.109375
51,6328697856.0,61156.625,79553.1171875,6263585280.0,61716.09765625,79142.8125
52,6308742656.0,61079.75390625,79427.59375,6249385984.0,61484.86328125,79053.0546875
53,6303838720.0,61095.421875,79396.71875,6241490432.0,61285.01171875,79003.1015625
54,6303636480.0,61046.28515625,79395.4453125,6249251840.0,60705.34765625,79052.2109375
55,6298130432.0,61059.41015625,79360.7578125,6248106496.0,60251.0703125,79044.96875
